title	rank	total_question_count	wikidata_id	wikidata_label	wikidata_description	creators	sort_year	date_label	confidence	decision
Book of Ruth	1479	55	""	""	""	""	""	""	""	no_high_confidence_match
Eclogues	1480	32	Q546203	Eclogues	poem collection by Virgil	Virgil	-41	41 BCE	high	accepted_overlay
As I Walked Out One Evening	1481	39	""	""	""	""	""	""	""	no_high_confidence_match
Under the Net	1482	59	Q466852	Under the Net	1954 novel by Iris Murdoch	Iris Murdoch	1954	1954	high	accepted_overlay
Tar Baby	1483	81	Q7684981	Tar Baby	1981 novel by Toni Morrison	Toni Morrison	1981	1981	high	accepted_overlay
Gotz von Berlichingen	1484	66	Q1369241	Götz von Berlichingen	play by Johann Wolfgang von Goethe	Johann Wolfgang von Goethe	1773	1773	high	accepted_overlay
A Novel Without a Hero	1485	130	""	""	""	""	""	""	""	no_high_confidence_match
Death and the Compass	1486	65	Q5247280	Death and the Compass	1942 short story by Jorge Luis Borges	Jorge Luis Borges	1942	1942	high	accepted_overlay
Lie Down in Darkness	1487	55	Q4003902	Lie Down in Darkness	novel by William Styron	William Styron	1951	1951	high	accepted_overlay
The Philosophy of Composition	1488	50	Q942049	The Philosophy of Composition	1846 essay written by Edgar Allan Poe	Edgar Allan Poe	1846	1846	high	accepted_overlay
You, Andrew Marvell	1489	48	""	""	""	""	""	""	""	no_high_confidence_match
Haroun and the Sea of Stories	1490	46	Q897003	Haroun and the Sea of Stories	1990 novel by Salman Rushdie	Salman Rushdie	1990	1990	high	accepted_overlay
The Illustrated Man	1491	72	Q1756055	The Illustrated Man	1951 short story collection by Ray Bradbury	Ray Bradbury	1951	1951	high	accepted_overlay
The Plum in the Golden Vase	1492	47	Q753535	Jin Ping Mei	1610 Chinese naturalistic novel	Lanling Xiaoxiao Sheng	1610	1610	high	accepted_overlay
The Maid's Tragedy	1493	49	Q7749612	The Maid's Tragedy	play	Francis Beaumont	1619	1619	high	accepted_overlay
Rappacini’s Daughter	1494	40	""	""	""	""	""	""	""	no_high_confidence_match
A Modern Instance	1495	67	Q4658314	A Modern Instance	1882 novel by William Dean Howells	William Dean Howells	1882	1882	high	accepted_overlay
The Triumph of the Egg	1496	68	Q7770298	The Triumph of the Egg	short story collection by Sherwood Anderson	Sherwood Anderson	1921	1921	high	accepted_overlay
124 Bluestone Road	1497	141	""	""	""	""	""	""	""	no_high_confidence_match
Rikki-Tikki-Tavi	1498	133	Q1820680	Rikki-Tikki-Tavi	1893 short story by Rudyard Kipling	Rudyard Kipling	1893	1893	high	accepted_overlay
The Deptford Trilogy	1499	66	""	""	""	""	""	""	""	no_high_confidence_match
The Chimney Sweeper	1500	81	Q2587725	The Chimney Sweeper	poem in two parts (or pair of poems) by William Blake	William Blake	1789	1789	high	accepted_overlay
Tell-Tale	1502	134	""	""	""	""	""	""	""	no_high_confidence_match
The Dancing Girl	1503	137	Q7728837	The Dancing Girl	short story by Mori Ōgai	Mori Ōgai		""	medium	accepted_overlay
Quincas Borba	1504	69	Q240087	Quincas Borba	1891 novel by Joaquim Maria Machado de Assis	Machado de Assis	1891	1891	high	accepted_overlay
The Moviegoer	1505	31	Q7752560	The Moviegoer	1961 novel by Walker Percy	Walker Percy	1961	1961	high	accepted_overlay
Nip the Buds	1506	132	""	""	""	""	""	""	""	no_high_confidence_match
Cane	1507	35	""	""	""	""	""	""	""	no_high_confidence_match
Shantih, Shantih, Shantih	1508	133	""	""	""	""	""	""	""	no_high_confidence_match
The Swimmer	1509	40	Q7767670	The Swimmer	short story by John Cheever	John Cheever		""	medium	accepted_overlay
The Magician of Lublin	1510	51	Q9352340	The Magician of Lublin	novel by Isaac Bashevis Singer	Isaac Bashevis Singer	1960	1960	high	accepted_overlay
Unaccustomed Earth	1511	50	Q7882215	Unaccustomed Earth	2008 short story by Jhumpa Lahiri	Jhumpa Lahiri	2008	2008	high	accepted_overlay
My Brilliant Career	1512	42	Q1249439	My Brilliant Career	1901 novel by Miles Franklin	Miles Franklin	1901	1901	high	accepted_overlay
Baltasar and Blimunda	1513	48	Q2510238	Baltasar and Blimunda	novel by José Saramago	José Saramago	1982	1982	high	accepted_overlay
Street Scene	1514	46	Q7622916	Street Scene	play written by Elmer Rice	Elmer Rice	1929	1929	high	accepted_overlay
The Man Who Came to Dinner	1515	59	Q7749910	The Man Who Came to Dinner	comedy in three acts by George S. Kaufman and Moss Hart	George S. Kaufman; Moss Hart		""	medium	accepted_overlay
The Robber Bridegroom	1516	63	""	""	""	""	""	""	""	no_high_confidence_match
Lady Chatterly's Lover	1517	40	""	""	""	""	""	""	""	no_high_confidence_match
The Tale of the Heike	1518	69	""	""	""	""	""	""	""	no_high_confidence_match
The Last Days of Pompeii	1519	56	Q1218985	The Last Days of Pompeii	1834 novel by Edward Bulwer-Lytton	Edward Bulwer-Lytton	1834	1834	high	accepted_overlay
Upon the Burning of Our House	1520	132	""	""	""	""	""	""	""	no_high_confidence_match
The Dog Beneath the Skin	1521	50	""	""	""	""	""	""	""	no_high_confidence_match
En attendant Godot	1522	39	Q101541566	En attendant Godot	individual book	Samuel Beckett	1952	1952	high	accepted_overlay
Triumph of Death	1523	128	""	""	""	""	""	""	""	no_high_confidence_match
We The Living	1524	58	Q2565443	We the Living	1936 novel by Ayn Rand	Ayn Rand	1936	1936	high	accepted_overlay
Fifth Business	1525	47	Q5447489	Fifth Business	1970 novel by Robertson Davies	Robertson Davies	1970	1970	high	accepted_overlay
Among School Children	1526	65	""	""	""	""	""	""	""	no_high_confidence_match
Sonnet – To Science	1527	39	Q7561961	Sonnet to Science	1829 poem by Edgar Allan Poe	Edgar Allan Poe	1829	1829	high	accepted_overlay
The Autobiography of Alice	1528	117	""	""	""	""	""	""	""	no_high_confidence_match
The Modern Prometheus	1529	111	Q150827	Frankenstein; or, The Modern Prometheus	1818 novel by Mary Shelley	Mary Shelley	1818	1818	high	accepted_overlay
The _Princess Casamassima	1530	39	""	""	""	""	""	""	""	no_high_confidence_match
Sanctuary	1531	30	""	""	""	""	""	""	""	no_high_confidence_match
The Chairs	1532	36	Q1216613	The Chairs	one-act play written by Eugène Ionesco	Eugène Ionesco	1953	1953	high	accepted_overlay
Topdog/Underdog	1533	53	Q7824793	Topdog/Underdog	play written by Suzan-Lori Parks	Suzan-Lori Parks		""	medium	accepted_overlay
Barefoot in the Park	1534	54	Q4489778	Barefoot in the Park	play written by Neil Simon	Neil Simon		""	medium	accepted_overlay
Starship Troopers	1535	45	Q492207	Starship Troopers	1959 military science fiction novel by Robert A. Heinlein	Robert A. Heinlein	1959	1959	high	accepted_overlay
The Changing Light at Sandover	1536	55	""	""	""	""	""	""	""	no_high_confidence_match
The Piano Teacher	1537	58	Q3823559	The Piano Teacher	1983 Novel by Elfriede Jelinek	Elfriede Jelinek	1983	1983	high	accepted_overlay
Volsunga Saga	1538	52	Q733340	Völsunga saga	13th century Icelandic saga	""	1250	1250	medium	accepted_overlay
The Dark Tower	1540	131	""	""	""	""	""	""	""	no_high_confidence_match
God's Grandeur	1541	55	""	""	""	""	""	""	""	no_high_confidence_match
Nothing Like the Sun	1542	124	""	""	""	""	""	""	""	no_high_confidence_match
The Key to All Mythologies	1543	130	""	""	""	""	""	""	""	no_high_confidence_match
Heartbreak Tango	1544	44	Q580827	Heartbreak Tango	novel by Manuel Puig	Manuel Puig		""	medium	accepted_overlay
The Outsider	1545	35	""	""	""	""	""	""	""	no_high_confidence_match
Sympathy	1546	89	""	""	""	""	""	""	""	no_high_confidence_match
Bringing Up Baby	1547	120	""	""	""	""	""	""	""	no_high_confidence_match
The Sisters	1548	41	Q2556904	The Sisters	short story by James Joyce	James Joyce	1904	1904	high	accepted_overlay
Tradition and the Individual Talent	1549	61	""	""	""	""	""	""	""	no_high_confidence_match
The Veldt	1550	43	Q7772135	The Veldt	1950 short story by Ray Bradbury	Ray Bradbury	1950	1950	high	accepted_overlay
Chac Mool	1551	85	Q21006529	Chac Mool	Mexican short story by Mexican writer Carlos Fuentes	Carlos Fuentes		""	medium	accepted_overlay
The Man in the High Castle	1552	73	Q749783	The Man in the High Castle	1962 novel by Philip K. Dick	Philip K. Dick	1962	1962	high	accepted_overlay
The Front Page	1553	113	""	""	""	""	""	""	""	no_high_confidence_match
Pippa Passes	1554	52	""	""	""	""	""	""	""	no_high_confidence_match
Luke Havergal	1555	62	""	""	""	""	""	""	""	no_high_confidence_match
The Wasps	1556	32	Q1217552	The Wasps	comedy by Aristophanes	Aristophanes		""	medium	accepted_overlay
The Government Inspector	1557	35	Q471066	The Government Inspector	play by Nikolai Gogol	Nikolai Gogol	1836	1836	high	accepted_overlay
The Wife of Bath’s Tale	1558	58	""	""	""	""	""	""	""	no_high_confidence_match
Phedre	1559	32	Q969098	Phèdre	tragedy by Jean Racine	Jean Racine	1677	1677	high	accepted_overlay
Spanish Golden Age	1560	139	""	""	""	""	""	""	""	no_high_confidence_match
A Few Figs from Thistles	1561	114	Q16482334	A Few Figs from Thistles	poetry collection by Edna St. Vincent Millay	Edna St. Vincent Millay	1922	1922	high	accepted_overlay
Two Trains Running	1562	52	Q7859307	Two Trains Running	play written by August Wilson	August Wilson		""	medium	accepted_overlay
Mules and Men	1563	131	Q24255909	Mules and Men	1935 book by Zora Neale Hurston	Zora Neale Hurston	1935	1935	high	accepted_overlay
The South	1564	46	""	""	""	""	""	""	""	no_high_confidence_match
Drum-Taps	1565	113	Q5309034	Drum-Taps	book by Walt Whitman	Walt Whitman	1865	1865	high	accepted_overlay
Civil Peace	1566	54	Q5124526	Civil Peace	short story by Chinua Achebe	Chinua Achebe	1971	1971	high	accepted_overlay
Birthday Letters	1567	84	Q4917058	Birthday Letters	1998 poetry collection by Ted Hughes	Ted Hughes	1998	1998	high	accepted_overlay
A Cool Million	1568	52	Q4656105	A Cool Million	novel by Nathanael West	Nathanael West	1934	1934	high	accepted_overlay
Three Lives	1569	73	Q7797597	Three Lives	novel by Gertrude Stein	Gertrude Stein	1909	1909	high	accepted_overlay
The Murder of Roger Ackroyd	1570	53	Q224078	The Murder of Roger Ackroyd	1926 novel by Agatha Christie	Agatha Christie	1926	1926	high	accepted_overlay
The Harp Weaver	1571	116	""	""	""	""	""	""	""	no_high_confidence_match
Miss Brill	1572	53	Q16387034	Miss Brill	short story by Katherine Mansfield	Katherine Mansfield		""	medium	accepted_overlay
Tonight We Improvise	1573	79	Q3927728	Tonight We Improvise	play written by Luigi Pirandello	Luigi Pirandello		""	medium	accepted_overlay
Harmonium	1574	81	Q5659368	Harmonium	debut poetry collection (1923) by Wallace Stevens	Wallace Stevens	1923	1923	high	accepted_overlay
Axolotl	1575	49	Q109657845	Axolotl	short story by Julio Cortázar	Julio Cortázar	1956	1956	high	accepted_overlay
Maurice	1576	43	""	""	""	""	""	""	""	no_high_confidence_match
The Phoenix and the Turtle	1577	36	Q1196220	The Phoenix and the Turtle	poem by William Shakespeare	William Shakespeare	1601	1601	high	accepted_overlay
Casino Royale	1578	62	Q1047711	Casino Royale	1953 novel by Ian Fleming	Ian Fleming	1953	1953	high	accepted_overlay
The Trickster of Seville	1579	68	""	""	""	""	""	""	""	no_high_confidence_match
Tamburlaine the Great	1580	74	""	""	""	""	""	""	""	no_high_confidence_match
The Black Plague	1581	120	""	""	""	""	""	""	""	no_high_confidence_match
Sei personaggi in cerca d’autore	1582	42	""	""	""	""	""	""	""	no_high_confidence_match
Dance Dance Dance	1584	51	Q2362776	Dance Dance Dance	1988 novel by Haruki Murakami	Haruki Murakami	1988	1988	high	accepted_overlay
The Temptation of Saint Anthony	1585	75	Q1217245	The Temptation of Saint Anthony	1874 novel by Gustave Flaubert	Gustave Flaubert	1874	1874	high	accepted_overlay
The Bride of Lammermoor	1586	57	Q2659725	The Bride of Lammermoor	novel by Walter Scott	Walter Scott	1819	1819	high	accepted_overlay
Faces in the Crowd	1587	124	""	""	""	""	""	""	""	no_high_confidence_match
The Self-Tormentor	1588	45	""	""	""	""	""	""	""	no_high_confidence_match
Book of Proverbs	1589	44	""	""	""	""	""	""	""	no_high_confidence_match
Intruder in the Dust	1590	49	Q3204276	Intruder in the Dust	novel by William Faulkner	William Faulkner	1948	1948	high	accepted_overlay
Decolonising the Mind	1591	58	""	""	""	""	""	""	""	no_high_confidence_match
Apology for Raymond Sebond	1592	57	Q107176465	Apology for Raymond Sebond	essay by Michel de Montaigne	Michel de Montaigne		""	medium	accepted_overlay
The Savage Detectives	1593	67	Q898056	The Savage Detectives	1998 novel by Roberto Bolaño	Roberto Bolaño	1998	1998	high	accepted_overlay
The Call of Cthulhu	1594	40	Q1141815	The Call of Cthulhu	1928 short story by H. P. Lovecraft	H. P. Lovecraft	1928	1928	high	accepted_overlay
100 Years of Solitude	1595	43	Q178869	One Hundred Years of Solitude	1967 novel by Gabriel García Márquez	Gabriel García Márquez	1967	1967	high	accepted_overlay
Poor Folk	1596	52	Q117293	Poor Folk	1846 novel by Fyodor Dostoyevsky	Fyodor Dostoyevsky	1846	1846	high	accepted_overlay
The Sketchbook of Geoffrey Crayon	1597	49	Q1170393	The Sketch Book of Geoffrey Crayon, Gent.	collection of short stories and essays by Washington Irving	Washington Irving	1819	1819	high	accepted_overlay
Book of Joshua	1598	33	""	""	""	""	""	""	""	no_high_confidence_match
Week of Peace	1599	124	""	""	""	""	""	""	""	no_high_confidence_match
Almayer's Folly	1600	71	Q2404359	Almayer's Folly	novel by Joseph Conrad	Joseph Conrad	1895	1895	high	accepted_overlay
Hell's Angels	1601	112	""	""	""	""	""	""	""	no_high_confidence_match
Death Fugue	1602	50	Q320620	Death Fugue	"German language poem ""Todesfuge"" written by the Romanian poet Paul Celan"	Paul Celan	1947	1947	high	accepted_overlay
An Epistle to Dr. Arbuthnot	1603	43	""	""	""	""	""	""	""	no_high_confidence_match
Kristin Lavransdatter	1604	56	Q1755757	Kristin Lavransdatter	book by Sigrid Undset	Sigrid Undset	1920	1920	high	accepted_overlay
The Forsyte Saga	1605	76	""	""	""	""	""	""	""	no_high_confidence_match
The Poisonwood Bible	1606	45	Q7757621	The Poisonwood Bible	novel by Barbara Kingsolver	Barbara Kingsolver	1998	1998	high	accepted_overlay
Endymion	1607	40	Q2083848	Endymion	poem written by John Keats	John Keats	1818	1818	high	accepted_overlay
The Doctor in Spite of Himself	1608	50	""	""	""	""	""	""	""	no_high_confidence_match
Fight Club	1609	42	Q837283	Fight Club	1996 novel by Chuck Palahniuk	Chuck Palahniuk	1996	1996	high	accepted_overlay
The Love Suicides at Amijima	1610	58	Q892307	The Love Suicides at Amijima	play of bunraku or kabuki	Chikamatsu Monzaemon		""	medium	accepted_overlay
The Longest Journey	1611	59	Q15999894	The Longest Journey	novel by E.M. Forster	E. M. Forster	1907	1907	high	accepted_overlay
The Ascent of F6	1612	60	""	""	""	""	""	""	""	no_high_confidence_match
The Parlement of Foules	1613	49	""	""	""	""	""	""	""	no_high_confidence_match
Nothing Gold Can Stay	1614	71	Q7062760	Nothing Gold Can Stay	Poem by Robert Frost	Robert Frost	1923	1923	high	accepted_overlay
The Ox-Bow Incident	1615	27	Q7755773	The Ox-Bow Incident	1940 novel by Walter Van Tilburg Clark	Walter Van Tilburg Clark	1940	1940	high	accepted_overlay
The Education of Henry Adams	1616	30	Q7731604	The Education of Henry Adams	autobiography by Henry Brooks Adams	Henry Adams	1918	1918	high	accepted_overlay
The Magic Barrel	1617	46	Q7749390	The Magic Barrel	1958 short story collection by Bernard Malamud	Bernard Malamud	1958	1958	high	accepted_overlay
Travesties	1618	35	Q16169805	Travesties	play written by Tom Stoppard	Tom Stoppard		""	medium	accepted_overlay
Conversion of the Jews	1619	74	""	""	""	""	""	""	""	no_high_confidence_match
Body of a Woman	1620	113	""	""	""	""	""	""	""	no_high_confidence_match
Sonny’s Blues	1621	47	Q7561986	Sonny's Blues	short story by James Baldwin	James Baldwin		""	medium	accepted_overlay
Of Time and the River	1622	71	Q7078812	Of Time and the River	novel by Thomas Wolfe	Thomas Wolfe	1935	1935	high	accepted_overlay
A New Way to Pay Old Debts	1623	43	Q4658548	A New Way to Pay Old Debts	play written by Philip Massinger	Philip Massinger		""	medium	accepted_overlay
Palm-of-the-Hand Stories	1624	78	Q3296810	Palm-of-the-Hand Stories	short stories by Yasunari Kawabata	Yasunari Kawabata	1971	1971	high	accepted_overlay
Speed-the-Plow	1625	72	Q4375644	Speed-the-Plow	play written by David Mamet	David Mamet		""	medium	accepted_overlay
Girl	1626	55	""	""	""	""	""	""	""	no_high_confidence_match
Vanished into the Clouds	1627	120	""	""	""	""	""	""	""	no_high_confidence_match
The Tragical History of Doctor Faustus	1628	41	Q50919	The Tragical History of Doctor Faustus	play by Christopher Marlowe	Christopher Marlowe	1604	1604	high	accepted_overlay
The Knights	1629	33	Q1215817	The Knights	comedy by Aristophanes	Aristophanes		""	medium	accepted_overlay
Lost in the Funhouse	1630	46	Q15902697	Lost in the Funhouse	short story collection by John Barth	John Barth	1968	1968	high	accepted_overlay
Purple Hibiscus	1631	54	Q7261426	Purple Hibiscus	2003 novel by Chimamanda Ngozi Adichie	Chimamanda Ngozi Adichie	2003	2003	high	accepted_overlay
The Revolt of the Angels	1632	48	Q3212617	The Revolt of the Angels	1914 novel by Anatole France	Anatole France	1914	1914	high	accepted_overlay
Enuma Elish	1633	69	""	""	""	""	""	""	""	no_high_confidence_match
Dark Laughter	1634	55	Q859978	Dark Laughter	novel by Sherwood Anderson	Sherwood Anderson	1925	1925	high	accepted_overlay
The Ministry of Utmost Happiness	1635	57	Q28127551	The Ministry of Utmost Happiness	novel by Arundhati Roy	Arundhati Roy	2017	2017	high	accepted_overlay
Portrait of the Artist as a Young Dog	1636	69	Q10638035	Portrait of the Artist as a Young Dog	book by Dylan Thomas	Dylan Thomas	1940	1940	high	accepted_overlay
Call to Arms	1637	113	""	""	""	""	""	""	""	no_high_confidence_match
Babylon Revisited	1638	55	Q4838516	Babylon Revisited	Short story by F. Scott Fitzgerald	F. Scott Fitzgerald	1963	1963	high	accepted_overlay
The Broken Tower	1639	47	""	""	""	""	""	""	""	no_high_confidence_match
The Scholar Gypsy	1640	53	Q7762509	The Scholar-Gypsy	1853 poem by Matthew Arnold	Matthew Arnold	1853	1853	high	accepted_overlay
Anna in the Tropics	1641	42	Q4767646	Anna in the Tropics	play written by Nilo Cruz	Nilo Cruz		""	medium	accepted_overlay
Requiem for a Nun	1642	54	Q3313370	Requiem for a Nun	novel by William Faulkner	William Faulkner	1951	1951	high	accepted_overlay
Foundation	1643	46	Q753894	Foundation	1951 novel by Isaac Asimov	Isaac Asimov	1951	1951	high	accepted_overlay
The Children of the Night	1644	54	Q17113422	The Children of The Night	poetry collection by Edwin Arlington Robinson	Edwin Arlington Robinson		""	medium	accepted_overlay
A Report to an Academy	1645	49	Q1304323	A Report to an Academy	short story by Franz Kafka	Franz Kafka	1917	1917	high	accepted_overlay
Antic Hay	1646	55	Q4774579	Antic Hay	novel by Aldous Huxley	Aldous Huxley	1923	1923	high	accepted_overlay
Part of the Forest	1647	58	""	""	""	""	""	""	""	no_high_confidence_match
Life Among the Lowly	1648	51	Q2222	Uncle Tom's Cabin	1852 novel by Harriet Beecher Stowe	Harriet Beecher Stowe	1852	1852	high	accepted_overlay
La vida es sueño	1649	30	""	""	""	""	""	""	""	no_high_confidence_match
The Hour of the Star	1650	35	Q7740489	The Hour of the Star	1977 novel by Clarice Lispector	Clarice Lispector	1977	1977	high	accepted_overlay
Poems on Various Subjects, Religious and Moral	1651	106	Q7207384	Poems on Various Subjects, Religious and Moral	book of poetry by Phillis Wheatley (1773)	Phillis Wheatley	1773	1773	high	accepted_overlay
La Peste	1652	32	Q320372	The Plague	French novel by Albert Camus	Albert Camus	1947	1947	high	accepted_overlay
Paul Clifford	1653	74	Q7149872	Paul Clifford	novel by Edward Bulwer-Lytton	Edward Bulwer-Lytton	1830	1830	high	accepted_overlay
An Irish Airman Foresees His Death	1654	40	Q4750112	An Irish Airman Foresees His Death	1919 poem written by William Butler Yeats	William Butler Yeats	1919	1919	high	accepted_overlay
First Fig	1655	70	""	""	""	""	""	""	""	no_high_confidence_match
Ceremony	1656	28	Q5064165	Ceremony	novel by Leslie Marmon Silko	Leslie Marmon Silko	1977	1977	high	accepted_overlay
Wilhelm Tell	1657	36	Q937281	William Tell	1804 play written by Friedrich Schiller	Friedrich Schiller	1804	1804	high	accepted_overlay
Ah Vastness of Pines	1658	42	""	""	""	""	""	""	""	no_high_confidence_match
Kinkaku-ji	1659	31	Q2518946	The Temple of the Golden Pavilion	1956 novel by Yukio Mishima	Yukio Mishima	1956	1956	high	accepted_overlay
Silence	1660	33	""	""	""	""	""	""	""	no_high_confidence_match
All the Names	1661	47	Q2409292	All the Names	1997 novel by José Saramago	José Saramago	1997	1997	high	accepted_overlay
Uncle Wiggily in Connecticut	1662	42	Q420712	Uncle Wiggily in Connecticut	1948 short story by J. D. Salinger	J. D. Salinger	1948	1948	high	accepted_overlay
The Bridge on the River Kwai	1663	104	""	""	""	""	""	""	""	no_high_confidence_match
The Grass is Singing	1664	56	Q428339	The Grass Is Singing	1950 novel by Doris Lessing	Doris Lessing	1950	1950	high	accepted_overlay
Black Beauty	1665	40	Q880092	Black Beauty	1877 novel by Anna Sewell	Anna Sewell	1877	1877	high	accepted_overlay
The End of the Road	1666	62	Q7732133	The End of the Road	1958 novel by John Barth	John Barth	1958	1958	high	accepted_overlay
Der Tod in Venedig	1667	41	Q828296	Death in Venice	1912 novella by Thomas Mann	Thomas Mann	1912	1912	high	accepted_overlay
Finnish mythology	1668	50	""	""	""	""	""	""	""	no_high_confidence_match
Against Interpretation	1669	68	""	""	""	""	""	""	""	no_high_confidence_match
Throne of Blood	1670	100	""	""	""	""	""	""	""	no_high_confidence_match
Die Verwandlung	1671	34	""	""	""	""	""	""	""	no_high_confidence_match
Against the Day	1672	43	Q4691072	Against the Day	2006 novel by Thomas Pynchon	Thomas Pynchon	2006	2006	high	accepted_overlay
Atonement	1673	26	Q306619	Atonement	2001 novel by Ian McEwan	Ian McEwan	2001	2001	high	accepted_overlay
Stacker of Wheat	1674	108	""	""	""	""	""	""	""	no_high_confidence_match
Zuleika Dobson	1675	53	Q8075113	Zuleika Dobson	1911 novel by Max Beerbohm	Max Beerbohm	1911	1911	high	accepted_overlay
The Laughing Man	1676	48	Q865211	The Man Who Laughs	novel by Victor Hugo	""	1869	1869	medium	accepted_overlay
Get the Guests	1677	111	""	""	""	""	""	""	""	no_high_confidence_match
Peace	1678	36	Q1193602	Peace	comedy by Aristophanes	Aristophanes		""	medium	accepted_overlay
The Sirens of Titan	1679	53	Q2294155	The Sirens of Titan	1959 novel by Kurt Vonnegut Jr.	Kurt Vonnegut	1959	1959	high	accepted_overlay
Explosion in a Cathedral	1680	59	""	""	""	""	""	""	""	no_high_confidence_match
Spring Awakening	1681	36	Q2549073	Spring Awakening	play by Frank Wedekind	Frank Wedekind	1891	1891	high	accepted_overlay
The Enchanted Hunters	1682	105	""	""	""	""	""	""	""	no_high_confidence_match
Earthly Powers	1683	43	Q3430189	Earthly Powers	1980 novel by Anthony Burgess	Anthony Burgess	1980	1980	high	accepted_overlay
Tam O’ Shanter	1684	45	Q3980542	Tam o' Shanter	1790 poem by Robert Burns	Robert Burns	1790	1790	high	accepted_overlay
Appointment in Samarra	1685	34	Q4410649	Appointment in Samarra	novel by John O'Hara	John O'Hara	1934	1934	high	accepted_overlay
The Violent Bear	1686	104	""	""	""	""	""	""	""	no_high_confidence_match
Hamlet and His Problems	1687	54	Q12250082	Hamlet and His Problems	Essay written by T. S. Eliot	T. S. Eliot	1920	1920	high	accepted_overlay
Runaway Horses	1689	45	Q861486	Runaway Horses	novel by Yukio Mishima	Yukio Mishima	1969	1969	high	accepted_overlay
Scoop	1690	32	Q1029093	Scoop	1938 novel by Evelyn Waugh	Evelyn Waugh	1938	1938	high	accepted_overlay
A Tree Grows in Brooklyn	1691	32	Q13931921	A Tree Grows in Brooklyn	1943 novel by Betty Smith	Betty Smith	1943	1943	high	accepted_overlay
Ode to Aphrodite	1692	74	Q21070481	Ode to Aphrodite	the only surviving poem by Sappho which is known to be complete	Sappho	-600	600 BCE	high	accepted_overlay
Sunflower Sutra	1693	54	""	""	""	""	""	""	""	no_high_confidence_match
Illness as Metaphor	1694	65	""	""	""	""	""	""	""	no_high_confidence_match
A Refusal to Mourn the Death, by Fire, of a Child in London	1695	49	""	""	""	""	""	""	""	no_high_confidence_match
The Castle	1696	35	Q682733	The Castle	novel by Franz Kafka	Franz Kafka	1926	1926	high	accepted_overlay
The Seashell Game	1697	113	""	""	""	""	""	""	""	no_high_confidence_match
The Known World	1698	106	Q7744892	The Known World	2003 novel by Edward P. Jones	Edward P. Jones	2003	2003	high	accepted_overlay
Ruslan and Ludmila	1699	69	Q2353039	Ruslan and Ludmila	1820 poem by Alexander Pushkin	Alexander Pushkin	1820	1820	high	accepted_overlay
The 120 Days of Sodom	1700	114	Q1210734	The 120 Days of Sodom	1785 novel by Marquis de Sade	Marquis de Sade	1785	1785	high	accepted_overlay
Travels with Charley	1701	61	""	""	""	""	""	""	""	no_high_confidence_match
Empire of the Sun	1702	64	Q2412167	Empire of the Sun	1984 novel by J. G. Ballard	J. G. Ballard	1984	1984	high	accepted_overlay
The New Criticism	1703	106	""	""	""	""	""	""	""	no_high_confidence_match
The Experimental Novel	1704	103	Q1384446	The Experimental Novel	novel by Émile Zola	Émile Zola	1880	1880	high	accepted_overlay
I Taste a Liquor Never Brewed	1705	48	Q5980230	I taste a liquor never brewed	poem by Emily Dickinson	Emily Dickinson	1861	1861	high	accepted_overlay
The Book of Hours	1706	96	Q7719237	The Book of Hours	collection of poetry by Rainer Maria Rilke	Rainer Maria Rilke	1905	1905	high	accepted_overlay
Theater of the Absurd	1707	101	""	""	""	""	""	""	""	no_high_confidence_match
The Patient Griselda	1708	113	Q43306100	Day 10 Tale 10 of the Decameron	novella of the Decameron by Giovanni Boccaccio (X, 10)	Giovanni Boccaccio		""	medium	accepted_overlay
The Mysterious Flame of Queen Loana	1709	50	""	""	""	""	""	""	""	no_high_confidence_match
Trifles	1710	32	Q491876	Trifles	one-act play	Susan Glaspell		""	medium	accepted_overlay
The Custom House	1711	100	""	""	""	""	""	""	""	no_high_confidence_match
Gerontion	1712	31	Q10289249	Gerontion	poem by T.S. Eliot	T. S. Eliot	1920	1920	high	accepted_overlay
James and the Giant Peach	1713	60	Q1426258	James and the Giant Peach	children's book written by Roald Dahl	Roald Dahl	1961	1961	high	accepted_overlay
as Big as the Ritz	1714	104	Q131461559	As Big As the Ritz	1986 novella by Gregory Benford	Gregory Benford	1986	1986	high	accepted_overlay
Don Juan in Hell	1715	93	""	""	""	""	""	""	""	no_high_confidence_match
The Heidi Chronicles	1716	38	Q7739301	The Heidi Chronicles	1988 play by Wendy Wasserstein	Wendy Wasserstein	1988	1988	high	accepted_overlay
Theatre of the Absurd	1717	104	""	""	""	""	""	""	""	no_high_confidence_match
The Obscene Bird of Night	1718	37	Q3204388	The Obscene Bird of Night	1970 novel by José Donoso	José Donoso	1970	1970	high	accepted_overlay
The American	1719	30	""	""	""	""	""	""	""	no_high_confidence_match
The God That Failed	1720	47	Q3009136	The God that Failed	book about disillusionment with communism by Richard Crossman	Louis Fischer; André Gide; Arthur Koestler; Ignazio Silone; Stephen Spender; Richard Wright	1949	1949	high	accepted_overlay
Those Winter Sundays	1721	39	""	""	""	""	""	""	""	no_high_confidence_match
The Monsters and the Critics	1722	103	""	""	""	""	""	""	""	no_high_confidence_match
The Book of the Grotesque	1723	58	""	""	""	""	""	""	""	no_high_confidence_match
The Red-Haired Woman	1724	106	Q25474980	The Red-Haired Woman	novel written by Orhan Pamuk	Orhan Pamuk	2016	2016	high	accepted_overlay
The Quaker Graveyard in Nantucket	1725	45	""	""	""	""	""	""	""	no_high_confidence_match
