title	rank	total_question_count	wikidata_id	wikidata_label	wikidata_description	creators	sort_year	date_label	confidence	decision
The Quiet American	697	121	Q1199651	The Quiet American	1955 novel by Graham Greene	Graham Greene	1955	1955	high	accepted_overlay
Gimpel the Fool	698	113	Q5562782	Gimpel the Fool	1957 short story collection by Isaac Bashevis Singer	Isaac Bashevis Singer	1957	1957	high	accepted_overlay
The Pastoral Symphony	699	262	""	""	""	""	""	""	""	no_high_confidence_match
A Death in the Family	700	123	Q4656363	A Death in the Family	autobiographical novel by James Agee	James Agee		""	medium	accepted_overlay
The Book of Laughter and Forgetting	701	148	Q2723517	The Book of Laughter and Forgetting	1979 novel by Milan Kundera	Milan Kundera	1979	1979	high	accepted_overlay
Humboldt's Gift	702	149	Q3793856	Humboldt's Gift	1975 novel by Saul Bellow	Saul Bellow	1975	1975	high	accepted_overlay
Shooting an Elephant	703	133	Q526227	Shooting an Elephant	essay by George Orwell	George Orwell	1936	1936	high	accepted_overlay
The Kite Runner	705	95	Q637839	The Kite Runner	2003 novel by Khaled Hosseini	Khaled Hosseini	2003	2003	high	accepted_overlay
Blood Meridian	706	153	Q581426	Blood Meridian	1985 novel by Cormac McCarthy	Cormac McCarthy	1985	1985	high	accepted_overlay
Heart of a Dog	707	104	Q1345004	The Heart of a Dog	1925 novel by Mikhail Bulgakov	Mikhail Bulgakov	1925	1925	high	accepted_overlay
Gospel of Luke	708	180	""	""	""	""	""	""	""	no_high_confidence_match
Steppenwolf	709	69	Q217073	Steppenwolf	1927 novel by Hermann Hesse	Hermann Hesse	1927	1927	high	accepted_overlay
Notre-Dame de Paris	710	74	Q191380	The Hunchback of Notre Dame	novel by Victor Hugo	""	1831	1831	medium	accepted_overlay
Dracula	711	68	Q41542	Dracula	1897 novel by Bram Stoker	Bram Stoker	1897	1897	high	manual_corrected_overlay
is Just to Say	712	193	""	""	""	""	""	""	""	no_high_confidence_match
The Man Without a Country	713	91	Q7750004	The Man Without a Country	short story by Edward Everett Hale	Edward Everett Hale		""	medium	accepted_overlay
An Essay on Man	714	131	Q3121862	An Essay on Man	poem by Alexander Pope	Alexander Pope	1733	1733	high	accepted_overlay
The Indian Burying Ground	715	101	""	""	""	""	""	""	""	no_high_confidence_match
A Study in Scarlet	716	153	Q223131	A Study in Scarlet	first Sherlock Holmes novel by Sir Arthur Conan Doyle	Arthur Conan Doyle	1887	1887	high	accepted_overlay
The Sot-Weed Factor	717	113	Q7765340	The Sot-Weed Factor	novel by John Barth	John Barth	1960	1960	high	accepted_overlay
Elmer Gantry	718	120	Q1247044	Elmer Gantry	1927 novel by Sinclair Lewis	Sinclair Lewis	1927	1927	high	accepted_overlay
Adonais	719	79	Q2824951	Adonais	1821 poem written by Percy Bysshe Shelley	Percy Bysshe Shelley	1821	1821	high	accepted_overlay
The Clouds	720	68	Q868447	The Clouds	comedy by Aristophanes	Aristophanes		""	medium	accepted_overlay
Mario and the Magician	721	105	Q1775812	Mario and the Magician	novella by Thomas Mann	Thomas Mann	1930	1930	high	accepted_overlay
The Alchemist	722	69	Q647411	The Alchemist	play written by Ben Jonson	Ben Jonson		""	medium	accepted_overlay
The Famished Road	723	114	Q2086419	The Famished Road	1991 novel by Ben Okri	Ben Okri	1991	1991	high	accepted_overlay
Invisible Cities	724	176	Q1219705	Invisible Cities	novel by Italo Calvino	Italo Calvino	1972	1972	high	accepted_overlay
The Wreck of the Deutschland	725	119	Q7776270	The Wreck of the Deutschland	poem	Gerard Manley Hopkins	1918	1918	high	accepted_overlay
The Lady with the Dog	726	95	Q2418554	The Lady with the Dog	short story by Anton Chekhov	Anton Chekhov	1899	1899	high	accepted_overlay
Pyramus and Thisbe	727	138	""	""	""	""	""	""	""	no_high_confidence_match
Book of Judges	728	140	""	""	""	""	""	""	""	no_high_confidence_match
Ender’s Game	729	91	""	""	""	""	""	""	""	no_high_confidence_match
Snow	730	80	""	""	""	""	""	""	""	no_high_confidence_match
The Adventures of Augie March	731	201	Q1771746	The Adventures of Augie March	1953 novel by Saul Bellow	Saul Bellow	1953	1953	high	accepted_overlay
The Gilded Age	732	177	""	""	""	""	""	""	""	no_high_confidence_match
Bartholomew Fair	733	115	Q1243205	Bartholomew Fair	play written by Ben Jonson	Ben Jonson		""	medium	accepted_overlay
A Wrinkle in Time	734	95	Q2268391	A Wrinkle in Time	1962 science fantasy novel by Madeleine L'Engle	Madeleine L'Engle	1962	1962	high	accepted_overlay
The Autobiography of Alice B. Toklas	735	122	""	""	""	""	""	""	""	no_high_confidence_match
Mixing It Up	736	141	""	""	""	""	""	""	""	no_high_confidence_match
Seize the Day	737	149	Q2907590	Seize the Day	novel by Saul Bellow	Saul Bellow	1956	1956	high	accepted_overlay
Desire Under the Elms	738	87	Q4502184	Desire Under the Elms	play by Eugene O’Neill	Eugene O'Neill		""	medium	accepted_overlay
The End of the Affair	739	93	Q905112	The End of the Affair	novel by Graham Greene	Graham Greene	1951	1951	high	accepted_overlay
Ben-Hur	740	181	Q816528	Ben-Hur: A Tale of the Christ	1880 novel by Lewis Wallace	Lew Wallace; Lewis Wallace	1880	1880	high	accepted_overlay
Strange Interlude	741	96	Q7621410	Strange Interlude	1920s play by Eugene O'Neill	Eugene O'Neill		""	medium	accepted_overlay
Charlotte's Web	742	118	Q45735	Charlotte's Web	1952 children's novel by E. B. White	E. B. White	1952	1952	high	accepted_overlay
A Man for All Seasons	743	98	Q3779414	A Man for All Seasons	play by Robert Bolt (1960)	Robert Bolt	1960	1960	high	accepted_overlay
De Profundis	744	195	Q1249459	De Profundis	literary work by Oscar Wilde	Oscar Wilde	1905	1905	high	accepted_overlay
The Secret Sharer	745	109	""	""	""	""	""	""	""	no_high_confidence_match
The Lord of the Rings	746	494	Q15228	The Lord of the Rings	1954–1955 fantasy novel trilogy by J. R. R. Tolkien	J. R. R. Tolkien	1954	1954	high	accepted_overlay
The Mysterious Stranger	747	105	Q2582895	The Mysterious Stranger	novel attempted by Mark Twain	Mark Twain	1916	1916	high	accepted_overlay
First Love	748	186	Q1189993	First Love	novella by Ivan Turgenev	Ivan Turgenev	1860	1860	high	accepted_overlay
Edith Wharton	749	290	""	""	""	""	""	""	""	no_high_confidence_match
Cannery Row	750	94	Q1216542	Cannery Row	novel by John Steinbeck	John Steinbeck	1945	1945	high	accepted_overlay
Ah, Wilderness	751	99	Q48745837	Ah, Wilderness	1966 novel by Shuji Terayama	Shūji Terayama	1966	1966	high	accepted_overlay
Endgame	752	69	Q1235448	Endgame	play by Samuel Beckett	Samuel Beckett	1957	1957	high	accepted_overlay
The Martian Chronicles	753	152	Q918052	The Martian Chronicles	1950 novel by Ray Bradbury	Ray Bradbury	1950	1950	high	accepted_overlay
A Country Doctor	754	178	Q15872155	A Country Doctor	short story collection by Franz Kafka	Franz Kafka	1920	1920	high	accepted_overlay
Rebecca	755	64	""	""	""	""	""	""	""	no_high_confidence_match
The Real Thing	756	153	Q3522445	The Real Thing	Tom Stoppard play	Tom Stoppard	1982	1982	high	accepted_overlay
Tristan and Isolde	757	199	""	""	""	""	""	""	""	no_high_confidence_match
The Human Stain	758	145	Q2258908	The Human Stain	2000 novel by Philip Roth	Philip Roth	2000	2000	high	accepted_overlay
The Razor’s Edge	759	138	""	""	""	""	""	""	""	no_high_confidence_match
Ma Rainey’s Black Bottom	760	131	Q6720803	Ma Rainey's Black Bottom	1982 play by August Wilson	August Wilson	1982	1982	high	accepted_overlay
The True Story of Ah Q	761	117	Q613121	The True Story of Ah Q	novella by Lu Xun	Lu Xun	1921	1921	high	accepted_overlay
Franny and Zooey	762	143	Q1445395	Franny and Zooey	novel by J. D. Salinger	J. D. Salinger	1961	1961	high	accepted_overlay
Dr. Heidegger’s Experiment	763	92	Q5304140	Dr. Heidegger's Experiment	short story by Nathaniel Hawthorne	Nathaniel Hawthorne	1837	1837	high	accepted_overlay
Andrea del Sarto	765	125	Q2846429	Andrea del Sarto	poem by Robert Browning	Robert Browning		""	medium	accepted_overlay
The Dream Songs	766	108	Q7730936	The Dream Songs	1969 collection of poetry	John Berryman	1969	1969	high	accepted_overlay
The Masque of the Red Death	767	78	Q766086	The Masque of the Red Death	1842 short story	Edgar Allan Poe	1842	1842	high	accepted_overlay
